date,state,cases,deaths,fips
2020-08-10,AC,21619,562,12
2020-08-10,AL,68237,1688,27
2020-08-10,AM,107197,3384,13
2020-08-10,AP,38399,603,16
2020-08-10,BA,194097,4011,29
2020-08-10,CE,189023,7994,23
2020-08-10,DF,126069,1762,53
2020-08-10,ES,93069,2764,32
2020-08-10,GO,88573,2072,52
2020-08-10,MA,130566,3187,21
2020-08-10,MG,155075,3597,31
2020-08-10,MT,65346,2204,51
2020-08-10,PA,169613,5901,15
2020-08-10,PB,90366,2023,25
2020-08-10,PE,105381,6970,26
2020-08-10,PI,61144,1526,22
2020-08-10,PR,94124,2398,41
2020-08-10,RJ,180016,14108,33
2020-08-10,RO,44372,944,11
2020-08-10,RS,84034,2417,43
2020-08-10,SC,106928,1541,42
2020-08-10,SE,64974,1614,28
2020-08-10,SP,628415,25151,35
2020-08-09,AC,21587,561,12
2020-08-09,AL,67613,1677,27
2020-08-09,AM,106950,3359,13
2020-08-09,AP,38208,602,16
2020-08-09,BA,193029,3953,29
2020-08-09,CE,188638,7979,23
2020-08-09,DF,123057,1731,53
2020-08-09,ES,91791,2735,32
2020-08-09,GO,85154,2020,52
2020-08-09,MA,130136,3169,21
2020-08-09,MG,153927,3537,31
2020-08-09,MS,31739,523,50
2020-08-09,MT,63680,2147,51
2020-08-09,PA,168151,5893,15
2020-08-09,PB,90082,2000,25
2020-08-09,PE,105381,6970,26
2020-08-09,PI,60178,1503,22
2020-08-09,RJ,178850,14080,33
2020-08-09,RN,55617,1983,24
2020-08-09,RO,44010,943,11
2020-08-09,RR,36449,547,14
2020-08-09,RS,83991,2360,43
2020-08-09,SC,105935,1445,42
2020-08-09,SE,64693,1589,28
2020-08-09,SP,627126,25114,35
2020-08-09,TO,32289,461,17
2020-08-08,AC,21498,559,12
2020-08-08,AL,66748,1665,27
2020-08-08,AM,106428,3355,13
2020-08-08,AP,38139,601,16
2020-08-08,BA,191401,3899,29
2020-08-08,CE,188289,7954,23
2020-08-08,DF,121824,1712,53
2020-08-08,ES,91146,2720,32
2020-08-08,GO,84963,2017,52
2020-08-08,MA,129700,3154,21
2020-08-08,MG,150723,3449,31
2020-08-08,MS,31344,509,50
2020-08-08,MT,63336,2125,51
2020-08-08,PA,167642,5885,15
2020-08-08,PB,89893,1983,25
2020-08-08,PE,104113,6920,26
2020-08-08,PI,59982,1480,22
2020-08-08,RJ,178524,14070,33
2020-08-08,RO,43866,940,11
2020-08-08,RR,36387,547,14
2020-08-08,RS,83595,2346,43
2020-08-08,SC,104749,1419,42
2020-08-08,SE,64271,1577,28
2020-08-08,SP,621731,25016,35
2020-08-08,TO,31663,451,17
