data.hora;data;tcle;cidade;uf;idade;sexo;raca;escolaridade;renda;rendafam;estcivil;filho_dep;qtd_filho_dep;plano;data_plano;plano_covid;preco_plano;pgt_plano;quarentena;teste_cov;result_teste_cov;contat_cov;morte_cov;equip_defensiv;gasto_equip_defensiv
06/04/2020 14:41;04/06/2020;;Salvador;BA;36;Masculino;Pardo;;5000;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não contratei plano de saúde durante a pandemia.;0;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;10
06/04/2020 14:43;04/06/2020;;Salvador;BA;35;Masculino;Pardo;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;1;Não;Não tenho plano de saúde;Não contratei plano de saúde durante a pandemia.;0;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;100
06/04/2020 15:03;04/06/2020;;Salvador;BA;57;Feminino;Pardo;;1400;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Não, contratei antes da pandemia.;Sim, teria contrato;699;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;60
06/04/2020 15:17;04/06/2020;;Brasília;DF;23;Feminino;Branco;;10000;;Solteiro;Não possuo filhos ou dependentes.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;;;;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;50
06/04/2020 15:20;04/06/2020;;Brasília;DF;34;Masculino;Pardo;;5000;;Casado;Não possuo filhos ou dependentes.;1;Sim;;;650;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;15
06/04/2020 15:31;04/06/2020;;Salvador;BA;13;Prefiro não dizer;Indígena;;13;;Outro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não tenho plano de saúde;;Não tenho plano de saúde;Não fiz nada, levei vida normal;0;Não fiz o teste.;;;Não;0
06/04/2020 15:44;04/06/2020;;Brasília;DF;28;Masculino;Preto;;12000;;Outro;Não possuo filhos ou dependentes.;2;Sim;;;400;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;100
06/04/2020 15:57;04/06/2020;;Salvador;BA;60;Feminino;Pardo;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;;900;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;150
06/04/2020 16:55;04/06/2020;;Salvador;BA;29;Masculino;Pardo;;10000;;Casado;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Teria contratado o plano de saúde mesmo sem a Pandemia do coronavírus.;300;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;500
06/04/2020 20:28;04/06/2020;;Salvador;BA;28;Feminino;Pardo;;760;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;30
